I	preferred	Određene zarazne i parazitarne bolesti
I	inclusion	Bolesti opšte poznate kao zarazne ili prenosne
I	coding-hint	Koristiti dodatne šifre (U80-U89) ako se žele identifikovati antibiotici na koje su bakterije rezistentne.
I	exclusion	Kliconoštvo ili sumnja na kliconoštvo određene zarazne bolesti označeno pod Z22.-
I	exclusion	Određene lokalizovane infekcije - videti grupe šifri koje se odnose na specifične organske sisteme i tamo označena oboljenja
I	exclusion	Zarazne i parazitarne bolesti koje komplikuju trudnoću, porođaj i babinje [izuzev porođajnog tetanusa], označene pod O98.-
I	exclusion	Zarazne i parazitarne bolesti specifične za porođajni period [izuzimaju se tetanus novorođenčeta, urođeni sifilis, porođajna gonokokna infekcija i porođajna bolest izazvana virusom HIV-a], označene od P35 do P39
I	exclusion	Grip i druge akutne infekcije disajnih puteva, označene od J00 do J22
A00-A09	preferred	Crijevne zarazne bolesti
A00	preferred	Kolera
A00.0	preferred	Kolera, uzročnik Vibrio cholerae 01, biotip cholerae
A00.0	inclusion	Klasična kolera
A00.1	preferred	Kolera, uzročnik Vibrio cholerae 01, biotip El Tor
A00.1	inclusion	Kolera El Tor
A00.9	preferred	Kolera, neoznačena
A01	preferred	Tifusne  i paratifusne groznice
A01.0	preferred	Trbušni tifus
A01.0	inclusion	Infekcija uzrokovana sa Salmonella typhi
A01.1	preferred	Paratifus A
A01.2	preferred	Paratifus B
A01.3	preferred	Paratifus C
A01.4	preferred	Paratifus, neoznačen
A01.4	inclusion	Infekcije uzrokovane sa Salmonella paratyphi NOS
A02	preferred	Druge infekcije uzrokovane salmonelama
A02	inclusion	Infekcije ili "trovanja hranom" uzrokovana bilo kojom drugom salmonelom, osim S. typhi i S. paratyphi
A02.0	preferred	Zapaljenje tankog crijeva uzrokovano salmonelama
A02.0	inclusion	Salmoneloza
A02.1	preferred	Sepsa uzrokovana salmonelama
A02.2	preferred	Lokalizovane infekcije uzrokovane salmonelama
A02.2	inclusion	Salmonelozni artritis označen pod M01.3
A02.2	inclusion	Salmonelozni meningitis označen pod G01
A02.2	inclusion	Salmonelozni osteomijelitis označen pod M90.2
A02.2	inclusion	Salmonelozna upala pluća označena pod J17.0
A02.2	inclusion	Salmonelom izazvana tubularno-tkivna bolest bubrega označena pod N16.0
A02.8	preferred	Ostale označene infekcije salmonelama
A02.9	preferred	Salmonelozna infekcija, neoznačena
A03	preferred	Šigeloza - bacilarna dizenterija
A03.0	preferred	Šigeloza, uzročnik Shigella dysenteriae
A03.0	inclusion	Šigeloza, uzročnik šigela grupe A (dizenterija Shiga-Kruse)
A03.1	preferred	Šigeloza, uzročnik Shigella flexneri
A03.1	inclusion	Šigeloza uzročnik šigela grupe B
A03.2	preferred	Šigeloza, uzročnik Shigella boydi
A03.2	inclusion	Šigeloza, uzročnik šigela grupe C
A03.3	preferred	Šigeloza, uzročnik Shigella sonnei
A03.3	inclusion	Šigeloza, uzročnik šigela grupe D
A03.8	preferred	Druga šigeloza
A03.9	preferred	Šigeloza, neoznačena
A03.9	inclusion	Bacilarna dizenterija, NOS
A04	preferred	Druge infekcije crijeva uzrokovane bakterijama
A04	exclusion	"Trovanja hranom", označena na drugom mjestu
A04	exclusion	Tuberkulozna upala crijeva, označena pod A18.3
A04.0	preferred	Infekcija crijeva, uzročnik enteropatogena Escherichia coli
A04.1	preferred	Infekcija crijeva, uzročnik enterotoksična Escherichia coli
A04.2	preferred	Infekcija crijeva, uzročnik enteroinvazivna Escherichia coli
A04.3	preferred	Infekcija crijeva, uzročnik enterohemoragijska Escherichia coli
A04.4	preferred	Druge infekcije crijeva, uzročnik Escherichia coli
A04.4	inclusion	Zapaljenje tankog crijeva uzrokovano sa Escherichia coli, NOS
A04.5	preferred	Zapaljenje tankog crijeva, uzročnik Campylobacter
A04.6	preferred	Zapaljenje tankog crijeva, uzročnik Yersinia enterocolitica
A04.6	exclusion	Vancrijevna jersinioza, označena pod A28.2
A04.7	preferred	Zapaljenje crijeva, uzročnik Clostridium difficile
A04.7	inclusion	Trovanje hranom izazvano sa Clostridium difficile
A04.7	inclusion	Pseudomembranozni kolitis
A04.8	preferred	Druge označene infekcije crijeva uzrokovane bakterijama
A04.9	preferred	Infekcija crijeva, uzrokovana bakterijama, neoznačena
A04.9	inclusion	Bakterijsko zapaljenje tankog crijeva NOS
A05	preferred	Ostala trovanja hranom uzrokovana bakterijama, neoznačena na drugom mjestu
A05	exclusion	Infekcije izazvane se Escherichia coli označene od A04.0 do A04.4
A05	exclusion	Listerioza označena pod A32.-
A05	exclusion	Trovanje hranom i upala izazvana salmonelama označena pod A02.-
A05	exclusion	Toksičko dejstvo štetnih supstanci unetih hranom označeno pod T61 - T62
A05.0	preferred	Trovanje hranom uzrokovano stafilokokom
A05.1	preferred	Botulizam
A05.1	inclusion	Klasično trovanje hranom uzrokovano sa Clostridium botulinum
