XV	preferred	Trudnoća, rađanje i babinje
XV	coding-hint	Šifre koje se koriste u ovoj grupi su u vezi sa pogoršanjem zdravlja žene u trudnoći, porođaju i babinjama zbog razloga koji su povezani sa majkom ili akušerske prirode.
XV	exclusion	Bolesti ili povrede koje komplikuju trudnoću, porođaj i babinje klasifikovane na drugom mjestu:
XV	exclusion	spoljašnji uzroci (za mortalitet) V, W, X, Y
XV	exclusion	Povrede, trovanja i druge posljedice djelovanja spoljašnjih faktora S00-T88.1, T88.6-T98
XV	exclusion	Duševni poremećaji i poremećaji ponašanja udruženi sa babinjama F53.-
XV	exclusion	Porođajni tetanus A34
XV	exclusion	Postpartalna (postporodjajna) nekroza hipofize E23.0
XV	exclusion	Razmekšavanje kosti u babinjama M83.0
XV	exclusion	Kontrola trudnoće sa visokim rizikom Z35.-
XV	exclusion	Kontrola normalne trudnoće Z34
O00-O08	preferred	Trudnoća završena pobačajem
O00-O08	exclusion	Nastavak trudnoće posle pobačaja jednog ili više plodova O31.1
O00	preferred	Vanmatericna trudnoca
O00	inclusion	Ruptura vanmaterične trudnoće
O00	coding-hint	Ako se želi označiti bilo koja povezana komplikacija, upotrebljava se dodatna šifra iz kategorije O08.-.
O00.0	preferred	Abdominalna trudnoca
O00.0	exclusion	Porođaj za život sposobnog fetusa u abdominalnoj trudnoći O83.3
O00.0	exclusion	Zbrinjavanje majke zbog fetusa sposobnog za život u abdominalnoj trudnoći O36.7
O00.1	preferred	Jajovodna trudnoca / Tubarna trudnoća
O00.1	inclusion	Tubarna trudnoća
O00.1	inclusion	Ruptura jajovoda (tube) zbog trudnoće
O00.1	inclusion	 Jajovodni (tubarni) pobačaj
O00.2	preferred	Jajnicka trudnoca / Ovarijalna trudnoća
O00.8	preferred	Ostale vanmaterične trudnoće
O00.8	inclusion	Trudnoća u grliću materice 
O00.8	inclusion	Trudnoća u rogu materice
O00.8	inclusion	Intraligamentarna trudnoća
O00.8	inclusion	Trudnoća u trbušnom zidu
O00.9	preferred	Vanmatericna trudnoca, neoznačena
O01	preferred	Grozdasta mola
O01	coding-hint	 Ako se želi označiti bilo koja povezana komplikacija, upotrebljava se dodatna šifra iz kategorije O08.-.
O01	exclusion	Maligna grozdasta mola D39.2
O01.0	preferred	Obicna grozdasta mola
O01.0	inclusion	Potpuna grozdasta mola
O01.1	preferred	Nepotpuna i djelimicna grozdasta mola
O01.9	preferred	Grozdasta mola, neoznačena
O01.9	inclusion	Bolest trofoblasta nespecifična
O01.9	inclusion	Vezikularna mola nespecifična
O02	preferred	Ostali abnormalni ishodi začeća
O02	coding-hint	Ako se želi označiti bilo koja povezana komplikacija, upotrebljava se dodatna šifra iz kategorije O08.-.
O02	exclusion	Papirasti plod O31.0
O02.0	preferred	Osteceno jajasce i negrozdasta mola
O02.0	inclusion	Karneozna mola
O02.0	inclusion	Mesnata mola
O02.0	inclusion	Materična mola nespecifična
