XIII	preferred	Bolesti mišićno-koštanog sistema i vezivnog tkiva
XIII	exclusion	Određena stanja nastala u porođajnom periodu P00-P96
XIII	exclusion	Određeni poremećaj temporomandibularnog zgloba K07.6
XIII	exclusion	Određene zarazne i parazitarne bolesti A00-B99
XIII	exclusion	Sindrom mišićnih odjeljaka (kompartment sindrom) T79.6
XIII	exclusion	Komplikacije trudnoće, rađanja i babinja O00-O99
XIII	exclusion	Urođene malformacije, deformacije i hromozomske abnormalnosti Q00-Q99
XIII	exclusion	Bolesti žlijezda sa unutrašnjim lučenjem, ishrane i metabolizma E00-E90
XIII	exclusion	Povrede, trovanja i posljedice djelovanja spoljašnjih uzroka S00-T98
XIII	exclusion	Tumori C00-D48
XIII	exclusion	Simptomi, znaci i abnormalni klinički i laboratorijski nalazi R00-R99
M00-M25	preferred	Artropatije
M00-M25	inclusion	Poremećaji koji zahvataju pretežno periferne zglobove udova
M00-M03	preferred	Infektivne artropatije
M00-M03	note	Ova podgrupa obuhvata artropatije izazvana mikrobiološkim agensima. Razlika je napravljena između sljedećih etioloških tipova: direktna infekcija zgloba, pri čemu mikroorganizmi napadaju sinoviju, i pri čemu je antigen mikroorganizma prisutan u zglobu;  indirektna infekcija, koja može biti dvovrsna: reaktivna artropatija, pri čemu je mikrobiološka infekcija organizma ustanovljena, ali nisu identifikovani ni uzročnik ni antigen u zglobu, i postinfektivna artropatija, pri čemu je antigen mikroorganizma prisutan, ali oporavak organizma je promjenljiv i lokalno razmnožavanje mikroorganizma ne može da se dokaže.
M00	preferred	Gnojna zapaljenja zglobova
M00[S13M00_5]	modifierlink	Vidjeti šifre lokalizacije na početku ove grupe
M00.0	preferred	Zapaljenje jednog i više zglobova izazvano stafilokokom
M00.1	preferred	Zapaljenje jednog i više zglobova izazvano pneumokokom
M00.2	preferred	Drugo zapaljenje jednog i više zglobova izazvano streptokokom
M00.8	preferred	Zapaljenja jednog i više zglobova izazvano drugim označenim bakterijama
M00.8	coding-hint	Koristiti dodatne šifre (B95-B96), za identifikaciju bakterijskog uzročnika, po potrebi.
M00.9	preferred	Gnojno zapaljenje zgloba, neoznačeno
M00.9	inclusion	Infektivno zapaljenje zglobova NOS
M01	preferred	Direktna infekcija zgloba u zaraznim i parazitarnim bolestima
M01[S13M00_5]	modifierlink	[Vidjeti šifre lokalizacije na početku ove grupe]
M01	exclusion	Zapaljenje zglobova u sarkoidozi M14.8
M01	exclusion	Postinfektivna i reaktivna artropatija u drugim bolestima M03.-
M01.0	preferred	Zapaljenje zgloba izazvano meningokokom A39.8
M01.0	exclusion	Zapaljenje zgloba poslije infekcije meningokokom M03.0
M01.1	preferred	Tuberkulozno zapaljenje zglobova A18.0
M01.1	exclusion	Tuberkuloza kičme M49.0
M01.2	preferred	Zapaljenje zgloba u Lajmskoj bolesti A69.2 
M01.3	preferred	Zapaljenje zgloba u drugim bakterijskim bolestima
M01.3	inclusion	Zapaljenje zgloba: kod lepre (Hansenova bolest) A30.-
M01.3	inclusion	Zapaljenje zgloba: u lokalizovanoj infekcijama salmonelom A02.2
