II	preferred	Neoplazme
II	introduction	Napomene:1. Primarne, nedovoljno definisane, sekundarne i neoznačene lokalizacije malignih neoplazmi Kategorije C76-C80 obuhvataju maligne neoplazme za koje nema jasnih dokaza o mjestu odakle potiču (primarna lokalizacija) ili je maligna neoplazma označena kao "diseminovana", "raširena" ili "rasijana", bez navođenja primarne lokalizacije. U oba slučaja se smatra da je primarna lokalizacija nepoznata. 2. Funkcionalna aktivnost Sve neoplazme su klasifikovane u ovoj grupi bez obzira na to da li su funkcionalno aktivne ili ne. Dodatna šifra iz Grupe IV, može se, po potrebi, koristiti da se označi funkcionalna aktivnost u vezi sa bilo kojom neoplazmom. Na primjer, zloćudni feohromocitom nadbubrežne žlijezde koji proizvodi kateholamine može se šifrirati kao C74 sa dodatnom šifrom E27.5; bazofilni adenom hipofize sa Cushingovim sindromom može se šifrirati kao D35.2 sa dodatnom šifrom E24.0. 3.Morfologija (histologija) Postoji više glavnih morfoloških (histoloških) grupa malignih neoplazmi: karcinomi - uključujući planocelularne karcinome (karcinome skvamoznih ćelija) i adenokarcinome; sarkomi; druge neoplazme mekih tkiva uključujući mezoteliome; limfomi (Hodgkin i Non-Hodgkin); leukemija; ostali naznačeni i za lokalizaciju specifični tipovi i neoznačeni karcinomi. Rak (kancer) je izraz koji se može primijeniti za bilo koju od navedenih grupa iako se rijetko primjenjuje za maligne neoplazme limfoidnog, haematopoeznog i srodnih tkiva. Karcinom se ponekad nepravilno koristi kao sinonim za kancer (rak). U Grupi II neoplazme su klasifikovane pretežno prema lokalizaciji u okviru širokih grupa koje označavaju njihovo ponašanje. Samo u nekoliko slučajeva morfologija je navedena u nazivima kategorije i potkategorije. Za one koji žele da naznače histološki tip neoplazme, date su i posebne morfološke šifre (vidi odjeljak o morfologiji meoplazmi). Ove morfološke šifre izvedene su iz drugog izdanja Međunarodne klasifikacije bolesti za onkologiju (MKB-O), koja je klasifikacija po dvije osnove i obezbjeđuje nezavistan sistem šifriranja za topografiju i morfologiju. Morfološke šifre imaju šest cifara: prve četiri cifre identifikuju histološki tip; peta cifra označava ponašanje (zloćudne primarne, zloćudne sekundarne (metastatske), in situ, dobroćudne, neodređeno da li je zloćudna ili dobroćudna); šesta cifra je za diferencijaciju solidnih neoplazmi, a koristi se i kao posebna šifra za limfome i leukaemije.4. Korišćeneje potkategorija u Grupi II Treba obratiti pažnju na posebnu upotrebu potkategorije 8 u ovoj Grupi (vidjeti napomenu 5). U slučajevima gdje je bila potrebna potkategorija za "drugo", ona je obično bila označena kao potkategorija 7. 5. Maligne neoplazme koje prelaze granice jedne lokalizacije i korišćenje potkategorije 8 Kategorije C00-C75 svrstavaju maligne neoplazme prema porijeklu. Mnoge kategorije sa tri mjesta su dalje podijeljene u naznačene djelove ili potkategorije organa koji je u pitanju. Maligna neoplazma u kategoriji sa tri mjesta koji zadire u dvije ili više lokalizacija, a mjesto porekla joj je nepoznato, klasifikuje se u potkategoriji 8, osim u slučaju kada je kombinacija posebno izdvojena na drugom mjestu. Na primjer, karcinom jednjaka i želuca je specifično označen kao C16.0 (kardija), dok karcinom vrha i ventralne strane jezika treba šifrirati kao C02.8. Sa druge strane, karcinom vrha jezika koji se širi prema ventralnoj strani jezika treba šifrirati kao C02.1 pošto je mjesto porijekla poznato (vrh jezika). Izraz "maligne neoplazme koje prelaze granice" ukazuje na susjedne lokalizacije (jedna do druge). Potkategorije koje numerički slijede jedna za drugom su najčešće anatomski susjedne, ali to nije uvijek tako (npr., mokraćna bešika C67. -). Ponekad neoplazme prelaze granice kategorija sa tri mjesta u okviru određenih sistema. Da bi se ovo riješilo oformljene su sljedeće potkategorije: C02.8 Jezik - maligna neoplazma koja prelazi granice lokalizacije C08.8 Velike pljuvačne žlijezde - maligna neoplazma koja prelazi granice lokalizacije C14.8 Usna, usna duplja i ždrijelo - maligna neoplazma koja prelazi granice lokalizacije C21.8 Rektum, anus i analni kanal - maligna neoplazma koja prelazi granice lokalizacije       C24.8 Žučni putevi - maligna neoplazma koja prelazi granice lokalizacije                                                                                          C26.8 Organi za varenje - maligna neoplazma koja prelazi granice lokalizacije C39.8 Disajni i grudni organi - maligna neoplazma koja prelazi granice lokalizacije C41.8 Kost i zglobna hrskavica -maligna neoplazma koja prelazi granice lokalizacije C49.8 Vezivno i meko tkivo - maligna neoplazma koja prelazi granice lokalizacije C57.8 Ženski polni organi - maligna neoplazma koja prelazi granice lokalizacije C63.8 Muški polni organi - maligna neoplazma koja prelazi granice lokalizacije C68.8 Mokraćni organi - maligna neoplazma koja prelazi granice lokalizacije C72.8 Centralni nervni sistem - maligna neoplazma koja prelazi granice lokalizacije Na primjer: karcinom želuca i tankog crijeva treba šifrirati kao C26.8 (organi za varenje - maligna neoplazma koja prelazi granice lokalizacije). 6. Maligne neoplazme ektopičnih tkiva Maligne neoplazme ektopičnih tkiva treba šifrirati na osnovu lokalizacije; npr., ektopične maligne neoplazme pankreasa se šifriraju kao maligna neoplazma pankreasa, neoznačeno (C25.9). 7. Korišćenje abecednog indeksa u šifriranju neoplazmi Pored lokalizacije, prilikom šifriranja neoplazmi moraju se uzeti u obzir morfologija i ponašanje i uvijek se mora prvo pozvati na abecedni indeks morfološkog opisa. Uvodne strane Knjige 3 sadrže opšta uputstva o upotrebi abecednog indeksa. Treba proučiti detaljna uputstva i primjere koji se odnose na neoplazmu da bi se pravilno koristile kategorije i potkategorije iz Grupe II. 8. Upotreba drugog izdanja Međunarodne klasifikacije bolesti za onkologiju (MKB-O) Za određene morfološke tipove, Grupa II nudi prilično ograničenu topografsku klasifikaciju ili je uopšte i nema. MKB-O u topografskim šiframa za sve neoplazme koristi u suštini iste kategorije sa tri ili četiri mjesta koje Grupa II primjenjuje za maligne neoplazme (C00-C77, C80), čime se obezbjeđuje veća specifičnost lokalizacije drugih neoplazmi (maligne sekundarne metastatske), dobroćudne, „in situ“ i neodređene ili nepoznate). Preporučuje se da ustanove koje su zainteresovane da identifikuju i lokalizaciju i morfologiju meoplazmi, npr., registri za rak, onkološke bolnice, odjeljenja za patologiju i druge ustanove koje se bave malignim neoplazmama, koriste MKB-O.
C00-C97	preferred	Maligne neoplazme
C00-C75	preferred	Maligne neoplazme za koje je potvrđeno ili se pretpostavlja da su primarne neoplazme označenih lokalizacija, osim limfnog, krvotvornog i srodnih tkiva 
C00-C14	preferred	Maligne neoplazme usne, usne duplje i ždrijela
C00	preferred	Maligna neoplazma usne
C00	exclusion	kože usneC43.0C44.0
C00.0	preferredLong	Maligna neoplazma gornje usne: spoljašnja strana
C00.0	preferred	Gornja usna, spoljašnja strana
C00.0	inclusion	Gornja usna: NOS
