1	J96_5	text	P	The following supplementary subclassification is provided for optional use with subcategories in J96.- :	The following supplementary subclassification is provided for optional use with subcategories in J96.- :
2	I70M10_4	text	l	The following supplementary classification to indicate the presence or absence of gangrene is provided for optional use with appropriate subcategories in I70.	The following supplementary classification to indicate the presence or absence of gangrene is provided for optional use with appropriate subcategories in I70.
3	S04E10_4	text	P	The following fourth-character subdivisions are for use with categories E10-E14:	The following fourth-character subdivisions are for use with categories E10-E14:
4	S05F10_4	text	P	The following fourth-character subdivisions are for use with categories F10-F19:	The following fourth-character subdivisions are for use with categories F10-F19:
5	S05F70_4	text	P	The following fourth-character subdivisions are for use with categories F70-F79 to identify the extent of impairment of behaviour:	The following fourth-character subdivisions are for use with categories F70-F79 to identify the extent of impairment of behaviour:
6	S11K25_4	text	P	The following fourth-character subdivisions are for use with categories K25-K28:	The following fourth-character subdivisions are for use with categories K25-K28:
7	S13M00_5	text	PP	Site of musculoskeletal involvement#The following subclassification to indicate the site of involvement is provided for optional use with appropriate categories in Chapter XIII. As local extensions or specialty adaptations may vary in the number of characters used, it is suggested that the supplementary site subclassification be placed in an identifiably separate position (e.g. in an additional box). Different sub-classifications for use with derangement of knee, dorsopathies, and biomechanical lesions not elsewhere classified are given at M23, before M40 and at M99 respectively.	Site of musculoskeletal involvement#The following subclassification to indicate the site of involvement is provided for optional use with appropriate categories in Chapter XIII. As local extensions or specialty adaptations may vary in the number of characters used, it is suggested that the supplementary site subclassification be placed in an identifiably separate position (e.g. in an additional box). Different sub-classifications for use with derangement of knee, dorsopathies, and biomechanical lesions not elsewhere classified are given at M23, before M40 and at M99 respectively.
8	S13M23_5	text	P	The following supplementary subclassification to indicate the site of involvement is provided for optional use with appropriate subcategories in M23.-; see also note at the beginning of this chapter.	The following supplementary subclassification to indicate the site of involvement is provided for optional use with appropriate subcategories in M23.-; see also note at the beginning of this chapter.
9	S13M40_5	text	P	The following supplementary subclassification to indicate the site of involvement is provided for optional use with appropriate categories in the block on dorsopathies, except categories M50 and M51; see also note at the beginning of this chapter.	The following supplementary subclassification to indicate the site of involvement is provided for optional use with appropriate categories in the block on dorsopathies, except categories M50 and M51; see also note at the beginning of this chapter.
10	S13M99_5	text	P	The following supplementary subclassification to indicate the site of lesions is provided for optional use with appropriate subcategories in M99.-; see also note at the beginning of this chapter.	The following supplementary subclassification to indicate the site of lesions is provided for optional use with appropriate subcategories in M99.-; see also note at the beginning of this chapter.
11	S14N00_4	text	P	The following fourth-character subdivisions classify morphological changes and are for use with categories N00-N07. Subdivisions .0-.8 should not normally be used unless these have been specifically identified (e.g. by renal biopsy or autopsy). The three-character categories relate to clinical syndromes.	The following fourth-character subdivisions classify morphological changes and are for use with categories N00-N07. Subdivisions .0-.8 should not normally be used unless these have been specifically identified (e.g. by renal biopsy or autopsy). The three-character categories relate to clinical syndromes.
12	S15O03_4	text	P	The following fourth-character subdivisions are for use with categories O03-O06:	The following fourth-character subdivisions are for use with categories O03-O06:
13	S15O03_4	note	P	Incomplete abortion includes retained products of conception following abortion.	Incomplete abortion includes retained products of conception following abortion.
14	S18R83_4	text	P	The following fourth-character subdivisions are for use with categories R83-R89:	The following fourth-character subdivisions are for use with categories R83-R89:
15	S19S02_5	text	P	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding to identify fracture and open wound; a fracture not indicated as closed or open should be classified as closed.	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding to identify fracture and open wound; a fracture not indicated as closed or open should be classified as closed.
16	S19S06_5	text	P	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding to identify intracranial injury and open wound:	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding to identify intracranial injury and open wound:
17	S19S12_5	text	P	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding to identify fracture and open wound; a fracture not indicated as closed or open should be classified as closed.	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding to identify fracture and open wound; a fracture not indicated as closed or open should be classified as closed.
18	S19S22_5	text	P	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding to identify fracture and open wound; a fracture not indicated as closed or open should be classified as closed.	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding to identify fracture and open wound; a fracture not indicated as closed or open should be classified as closed.
19	S19S26_5	text	P	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding:	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding:
20	S19S27_5	text	P	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding:	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding:
21	S19S32_5	text	P	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding to identify fracture and open wound; a fracture not indicated as closed or open should be classified as closed.	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding to identify fracture and open wound; a fracture not indicated as closed or open should be classified as closed.
22	S19S36_5	text	P	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding:	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding:
23	S19S37_5	text	P	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding:	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding:
24	S19S42_5	text	P	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding to identify fracture and open wound; a fracture not indicated as closed or open should be classified as closed.	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding to identify fracture and open wound; a fracture not indicated as closed or open should be classified as closed.
25	S19S52_5	text	P	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding to identify fracture and open wound; a fracture not indicated as closed or open should be classified as closed.	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding to identify fracture and open wound; a fracture not indicated as closed or open should be classified as closed.
26	S19S62_5	text	P	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding to identify fracture and open wound; a fracture not indicated as closed or open should be classified as closed.	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding to identify fracture and open wound; a fracture not indicated as closed or open should be classified as closed.
27	S19S72_5	text	P	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding to identify fracture and open wound; a fracture not indicated as closed or open should be classified as closed.	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding to identify fracture and open wound; a fracture not indicated as closed or open should be classified as closed.
28	S19S82_5	text	P	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding to identify fracture and open wound; a fracture not indicated as closed or open should be classified as closed.	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding to identify fracture and open wound; a fracture not indicated as closed or open should be classified as closed.
29	S19S92_5	text	P	The followig subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding to identify fracture and open wound; a fracture not indicated as closed or open should be classified as closed.	The followig subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding to identify fracture and open wound; a fracture not indicated as closed or open should be classified as closed.
30	S19T02_5	text	P	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding to identify fracture and open wound; a fracture not indicated as closed or open should be classified as closed.	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding to identify fracture and open wound; a fracture not indicated as closed or open should be classified as closed.
31	S19T08_5	text	P	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding to identify fracture and open wound; a fracture not indicated as closed or open should be classified as closed.	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding to identify fracture and open wound; a fracture not indicated as closed or open should be classified as closed.
32	S19T10_5	text	P	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding to identify fracture and open wound; a fracture not indicated as closed or open should be classified as closed.	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding to identify fracture and open wound; a fracture not indicated as closed or open should be classified as closed.
33	S19T12_5	text	P	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding to identify fracture and open wound; a fracture not indicated as closed or open should be classified as closed.	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding to identify fracture and open wound; a fracture not indicated as closed or open should be classified as closed.
34	S19T142_5	text	P	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding to identify fracture and open wound; a fracture not indicated as closed or open should be classified as closed.	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding to identify fracture and open wound; a fracture not indicated as closed or open should be classified as closed.
