1	I70M10_4	text	l	The following supplementary classification to indicate the presence or absence of gangrene is provided for optional use.	The following supplementary classification to indicate the presence or absence of gangrene is provided for optional use.
2	S04E10_4	text	P	The following fourth-character subdivisions are for use with categories E10-E14:	The following fourth-character subdivisions are for use with categories E10-E14:
3	S05F10_4	text	P	The following fourth-character subdivisions are for use with categories F10-F19:	The following fourth-character subdivisions are for use with categories F10-F19:
4	S05F70_4	text	P	The following fourth-character subdivisions are for use with categories F70-F79 to identify the extent of impairment of behaviour:	The following fourth-character subdivisions are for use with categories F70-F79 to identify the extent of impairment of behaviour:
5	S11K25_4	text	P	The following fourth-character subdivisions are for use with categories K25-K28:	The following fourth-character subdivisions are for use with categories K25-K28:
6	S13M00_5	text	PP	Site of musculoskeletal involvement#The following subclassification to indicate the site of involvement is provided for optional use with appropriate categories in Chapter XIII. As local extensions or specialty adaptations may vary in the number of characters used, it is suggested that the supplementary site subclassification be placed in an identifiably separate position (e.g. in an additional box). Different sub-classifications for use with derangement of knee, dorsopathies, and biomechanical lesions not elsewhere classified are given at M23, before M40 and at M99 respectively.	Site of musculoskeletal involvement#The following subclassification to indicate the site of involvement is provided for optional use with appropriate categories in Chapter XIII. As local extensions or specialty adaptations may vary in the number of characters used, it is suggested that the supplementary site subclassification be placed in an identifiably separate position (e.g. in an additional box). Different sub-classifications for use with derangement of knee, dorsopathies, and biomechanical lesions not elsewhere classified are given at M23, before M40 and at M99 respectively.
7	S13M23_5	text	P	The following supplementary subclassification to indicate the site of involvement is provided for optional use with appropriate subcategories in M23.-; see also note at the beginning of this chapter.	The following supplementary subclassification to indicate the site of involvement is provided for optional use with appropriate subcategories in M23.-; see also note at the beginning of this chapter.
8	S13M40_5	text	P	The following supplementary subclassification to indicate the site of involvement is provided for optional use with appropriate categories in the block on dorsopathies, except categories M50 and M51; see also note at the beginning of this chapter.	The following supplementary subclassification to indicate the site of involvement is provided for optional use with appropriate categories in the block on dorsopathies, except categories M50 and M51; see also note at the beginning of this chapter.
9	S13M99_5	text	P	The following supplementary subclassification to indicate the site of lesions is provided for optional use with appropriate subcategories in M99.-; see also note at the beginning of this chapter.	The following supplementary subclassification to indicate the site of lesions is provided for optional use with appropriate subcategories in M99.-; see also note at the beginning of this chapter.
10	S14N00_4	text	P	The following fourth-character subdivisions classify morphological changes and are for use with categories N00-N07. Subdivisions .0-.8 should not normally be used unless these have been specifically identified (e.g. by renal biopsy or autopsy). The three-character categories relate to clinical syndromes.	The following fourth-character subdivisions classify morphological changes and are for use with categories N00-N07. Subdivisions .0-.8 should not normally be used unless these have been specifically identified (e.g. by renal biopsy or autopsy). The three-character categories relate to clinical syndromes.
11	S15O03_4	text	P	The following fourth-character subdivisions are for use with categories O03-O06:	The following fourth-character subdivisions are for use with categories O03-O06:
12	S15O03_4	note	P	Incomplete abortion includes retained products of conception following abortion.	Incomplete abortion includes retained products of conception following abortion.
13	S18R83_4	text	P	The following fourth-character subdivisions are for use with categories R83-R89:	The following fourth-character subdivisions are for use with categories R83-R89:
14	S19S02_5	text	P	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding to identify fracture and open wound; a fracture not indicated as closed or open should be classified as closed.	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding to identify fracture and open wound; a fracture not indicated as closed or open should be classified as closed.
15	S19S06_5	text	P	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding to identify intracranial injury and open wound:	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding to identify intracranial injury and open wound:
16	S19S12_5	text	P	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding to identify fracture and open wound; a fracture not indicated as closed or open should be classified as closed.	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding to identify fracture and open wound; a fracture not indicated as closed or open should be classified as closed.
17	S19S22_5	text	P	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding to identify fracture and open wound; a fracture not indicated as closed or open should be classified as closed.	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding to identify fracture and open wound; a fracture not indicated as closed or open should be classified as closed.
18	S19S26_5	text	P	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding:	The following subdivisions are provided for optional use in a supplementary character position where it is not possible or not desired to use multiple coding:
